city,population_proper
"Peshastin, WA",
"Marble, WA",
"South Snohomish, WA",
"Richmond Highlands, WA",
"Goldendale, WA",3449.0
"Nisqually, WA",
"Tillicum, WA",
"Anatone, WA",
"Tulalip, WA",
"Orient, WA",
"Dieringer, WA",
"Frederickson, WA",
"Keller, WA",
"Marblemount, WA",
"Turner, WA",
"Everett, WA",109043.0
"Burien, WA",50997.0
"Riner, VA",
"Powhatan, VA",
"Natural Bridge, VA",
"Chamberlayne Heights, VA",
"Manassas Park, VA",15915.0
"McClure, VA",
"Brownsburg, VA",
"Burgess, VA",
"Lake Barcroft, VA",
"Clover, VA",
"Columbia, VA",80.0
"Verona, VA",
"Fairfax, VA",24164.0
"Falmouth, VA",
"Scottsburg, VA",131.0
"Ashburn, VA",
"Big Stone Gap, VA",5372.0
"Gwynn, VA",
"Jewell Valley, VA",
"Waynesboro, VA",21887.0
"University Heights, VA",
"Batesville, VA",
"Whitetop, VA",
"Nellysford, VA",
"Montrose, VA",
"Lexington, VA",7045.0
"Clinchco, VA",312.0
"Dante, VA",
"Ivor, VA",327.0
"Montross, VA",389.0
"Wintergreen, VA",
"Vesta, VA",
"Henry, VA",
"Jonesville, VA",956.0
"Evington, VA",
"Duffield, VA",85.0
"McKenney, VA",482.0
"Fancy Gap, VA",
"Goshen, VA",354.0
"Onley, VA",513.0
"Exmore, VA",1442.0
"Schuyler, VA",
"Kenbridge, VA",1221.0
"Penhook, VA",
"Mollusk, VA",
"Toga, VA",
"Laurel Park, VA",
"Bayside, VA",
"Lignum, VA",
"Winchester, VA",27516.0
"Lebanon, VA",3285.0
"Tysons, VA",
"Mappsburg, VA",
"Orange, VA",4988.0
"Midlothian, VA",
"Calverton, VA",
"Fulks Run, VA",
"Amelia Court House, VA",
"Boydton, VA",416.0
"Konnarock, VA",
"Kilmarnock, VA",1438.0
"Crockett, VA",
"Buckingham, VA",
"Hamilton, VA",625.0
"Broadlands, VA",
"Mineral, VA",492.0
"Apple Grove, VA",
"Susan, VA",
"Free Union, VA",
"Keokee, VA",
"Cleveland, VA",184.0
"Fairfax Station, VA",
"Bensley, VA",
"Lebanon Church, VA",
"Brumley Gap, VA",
"Patrick Springs, VA",
"Wachapreague, VA",230.0
"Spencer, VA",
"Gressitt, VA",
"Commonwealth, VA",
"Oak Level, VA",
"Adwolf, VA",
"Cana, VA",
"Haynesville, VA",
"Jarratt, VA",614.0
"Strasburg, VA",6583.0
"Charles City, VA",
"Rose Hill Farms, VA",
"Radford, VA",17483.0
"Savageville, VA",
"Emory, VA",
"Cartersville, VA",
"Apple Mountain Lake, VA",
"Richmond, VA",223170.0
"Barracks, VA",
"Alberta, VA",283.0
"Luray, VA",4816.0
"Middleburg, VA",828.0
"Centreville, VA",
"Sherando, VA",
"Drakes Branch, VA",511.0
"Wicomico Church, VA",
"Short Pump, VA",
