city,population_proper
"Mont Ida, KS",
"Rolla, KS",393.0
"Winifred, KS",
"Lehigh, KS",167.0
"Cedar Vale, KS",527.0
"Beaver, KS",
"Goff, KS",126.0
"Vesper, KS",
"Latham, KS",138.0
"Ransom, KS",274.0
"Saint Francis, KS",1294.0
"Eudora, KS",6379.0
"Willis, KS",37.0
"Niotaze, KS",76.0
"Bellaire, KS",
"Eskridge, KS",505.0
"Frontenac, KS",3414.0
"Clyde, KS",684.0
"West Mineral, KS",175.0
"Wellsford, KS",
"Ellinwood, KS",2037.0
"Keats, KS",
"Horton, KS",1702.0
"Loretta, KS",
"Riley, KS",972.0
"Liebenthal, KS",96.0
"Mildred, KS",26.0
"McCracken, KS",177.0
"Beardsley, KS",
"Cedar Bluffs, KS",
"Abbyville, KS",87.0
"Farmington, KS",
"Scammon, KS",452.0
"Protection, KS",502.0
"Cedar, KS",13.0
"Beattie, KS",193.0
"Floral, KS",
"Onaga, KS",696.0
"Mullinville, KS",247.0
"Louisburg, KS",4382.0
"Gem, KS",87.0
"Toronto, KS",265.0
"Redfield, KS",142.0
"Hopewell, KS",
"Montezuma, KS",967.0
"Saint Paul, KS",597.0
"Wellington, KS",7889.0
"New Lancaster, KS",
"Mayfield, KS",109.0
"Mayetta, KS",337.0
"Byers, KS",35.0
"Oak Valley, KS",
"Goodland, KS",4441.0
"Codell, KS",
"Elgin, KS",82.0
"McLouth, KS",847.0
"Goodrich, KS",
"Kenneth, KS",
"Rossville, KS",1130.0
"Wabaunsee, KS",
"Saint Peter, KS",
"Everest, KS",278.0
"Russell Springs, KS",25.0
"Saint Joseph, KS",
"Tampa, KS",107.0
"Waldron, KS",10.0
"Coffeyville, KS",9539.0
"Nortonville, KS",613.0
"Goddard, KS",4710.0
"Studley, KS",
"Bogue, KS",141.0
"Ellis, KS",2050.0
"Reece, KS",
"Benedict, KS",68.0
"Piper, KS",
"Cheney, KS",2165.0
"Oakley, KS",2098.0
"Jetmore, KS",842.0
"Hamlin, KS",45.0
"Leonardville, KS",440.0
"Viola, KS",130.0
"Shields, KS",
"Hope, KS",339.0
"Zenda, KS",85.0
"Lowell, KS",
"Glen Elder, KS",431.0
"Midland Park, KS",
"Oak Hill, KS",23.0
"Norwich, KS",458.0
"Dorrance, KS",187.0
"Nashville, KS",61.0
"Hunter, KS",56.0
"Mount Hope, KS",807.0
"Hillsboro, KS",2887.0
"Catharine, KS",
"Lone Star, KS",
"New Almelo, KS",
"Fairview, KS",253.0
"Garden City, KS",26747.0
"Oxford, KS",1017.0
"Bloom, KS",
"Schulte, KS",
"Culver, KS",118.0
"Tonganoxie, KS",5326.0
"Tipton, KS",206.0
"Alma, KS",792.0
"Iuka, KS",163.0
"Freeport, KS",5.0
"Kansas City, KS",151709.0
"Glade, KS",91.0
"Moundridge, KS",1737.0
"Courtland, KS",269.0
"Menlo, KS",60.0
"Marquette, KS",611.0
"Ashland, KS",807.0
"Penalosa, KS",16.0
"Longton, KS",306.0
"Augusta, KS",9321.0
"Mitchell, KS",
"Leawood, KS",34565.0
"Fairport, KS",
"Whiting, KS",183.0
"Miller, KS",
"Oswego, KS",1744.0
"Reno, KS",
"Leoville, KS",
"LeRoy, KS",553.0
"Carlton, KS",42.0
"Minneola, KS",698.0
"Tribune, KS",776.0
"Piqua, KS",
"Moran, KS",517.0
"Lenora, KS",235.0
"Portland, KS",
"Dennis, KS",
"Randolph, KS",163.0
"Towanda, KS",1427.0
"Sublette, KS",1364.0
"Russell, KS",4500.0
"Tecumseh, KS",
"Nickerson, KS",1021.0
"Williamsburg, KS",384.0
"Conway Springs, KS",1224.0
"Ludell, KS",
"Saint Marys, KS",2664.0
"McCune, KS",405.0
"Colby, KS",5419.0
"Bloomington, KS",
"Tyro, KS",205.0
"Glasco, KS",473.0
"Sterling, KS",2264.0
"Rozel, KS",150.0
"Milford, KS",569.0
"Atchison, KS",10679.0
"Vinland, KS",
"Latimer, KS",19.0
"Gas, KS",520.0
"Victoria, KS",1221.0
"St. John, KS",1214.0
"Wilsey, KS",145.0
"Marysville, KS",3294.0
"Smith Center, KS",1583.0
"Hewins, KS",
"Little River, KS",536.0
"Verdi, KS",
"Halls Summit, KS",
"Woodbine, KS",169.0
"Lebo, KS",912.0
"Bushton, KS",271.0
"Sawyer, KS",124.0
"Pawnee Rock, KS",234.0
"Solomon, KS",1040.0
"Clements, KS",
"Wilroads Gardens, KS",
"Sedgwick, KS",1695.0
"Haysville, KS",11245.0
"Barclay, KS",
"Kismet, KS",450.0
"Palmer, KS",106.0
"Elmo, KS",
"Ensign, KS",182.0
"Lorraine, KS",135.0
"Holyrood, KS",436.0
"Scottsville, KS",24.0
"Troy, KS",970.0
"Durham, KS",107.0
"Westwood, KS",1658.0
"Kirwin, KS",162.0
"Agra, KS",244.0
"Petrolia, KS",
"Lafontaine, KS",
"Perry, KS",906.0
"Caldwell, KS",1020.0
"Belmont, KS",
"Maple Hill, KS",617.0
"Olsburg, KS",227.0
"Greensburg, KS",771.0
"Holcomb, KS",2145.0
"Charleston, KS",
"Walnut, KS",218.0
"Plains, KS",1056.0
"Hiattville, KS",
"Ottumwa, KS",
"Norton, KS",2812.0
"Piedmont, KS",
"Udall, KS",727.0
"Friend, KS",
"Arma, KS",1444.0
"Douglass, KS",1691.0
"Morland, KS",152.0
"Centropolis, KS",
"Walton, KS",239.0
"Roseland, KS",73.0
"Cuba, KS",146.0
"Axtell, KS",400.0
"Moscow, KS",298.0
"Susank, KS",33.0
"Pfeifer, KS",
"Lamont, KS",
"Seguin, KS",
"Lost Springs, KS",67.0
"Montana, KS",
"Marienthal, KS",
"Odin, KS",
"Syracuse, KS",1705.0
"Rosalia, KS",
"Sycamore, KS",
"Hardtner, KS",168.0
"Saint Marks, KS",
"Frederick, KS",17.0
"Neal, KS",
"Belpre, KS",82.0
"Neodesha, KS",2319.0
"Rock, KS",
"Opolis, KS",
"Englevale, KS",
"Lincolnville, KS",192.0
"Attica, KS",577.0
"Seneca, KS",2048.0
"Madison, KS",641.0
"Assaria, KS",407.0
"Lone Elm, KS",24.0
"Geneseo, KS",264.0
"Radium, KS",24.0
"Wayside, KS",
"Peabody, KS",1140.0
"Bronson, KS",312.0
"Moline, KS",325.0
"Baldwin City, KS",4677.0
"Fort Dodge, KS",
"Brookville, KS",263.0
"Garland, KS",
"Pierceville, KS",
"Kingman, KS",3000.0
"Saxman, KS",
"Wolcott, KS",
"Fanning, KS",
"Mission Hills, KS",3600.0
"Salina, KS",47336.0
"Shaw, KS",
"Wallace, KS",58.0
"Fairway, KS",3972.0
"Idana, KS",
"Munden, KS",94.0
"Elk Falls, KS",95.0
"Meriden, KS",783.0
"Ada, KS",
"Herington, KS",2362.0
"Hazelton, KS",91.0
"Richfield, KS",38.0
"Winona, KS",166.0
"Cherryvale, KS",2190.0
"Detroit, KS",
"Lawrence, KS",95358.0
"Wheeler, KS",
"Vernon, KS",
"Bala, KS",
"Anthony, KS",2178.0
"Merriam, KS",11245.0
"McFarland, KS",255.0
"Bartlett, KS",79.0
"Olathe, KS",135473.0
"Englewood, KS",73.0
"Rantoul, KS",182.0
"Waldo, KS",30.0
"Delia, KS",166.0
"Willard, KS",92.0
"Cullison, KS",101.0
"Horace, KS",72.0
"Oskaloosa, KS",1078.0
"Belleville, KS",1894.0
"Chetopa, KS",1061.0
"Harlan, KS",
"Franklin, KS",
"Dellvale, KS",
"Paxico, KS",213.0
"Ashton, KS",
"Highland, KS",1000.0
"Stockton, KS",1297.0
"Beloit, KS",3769.0
"Preston, KS",158.0
"Fall River, KS",150.0
"Antelope, KS",
"Leon, KS",701.0
"Pleasanton, KS",1176.0
"Grigston, KS",
"Tescott, KS",311.0
"Jingo, KS",
"Melrose, KS",
"Florence, KS",441.0
"Fostoria, KS",
"Lancaster, KS",290.0
"Uniontown, KS",267.0
"Cottonwood Falls, KS",869.0
"Hudson, KS",123.0
"Morehead, KS",
"Virgil, KS",66.0
"Altamont, KS",1043.0
"Kingsdown, KS",
"Manhattan, KS",54983.0
"Circleville, KS",167.0
"Harding, KS",
"Princeton, KS",262.0
"Osawatomie, KS",4308.0
"Wells, KS",
"Mulberry, KS",519.0
"Agricola, KS",
"Milton, KS",
"Wichita, KS",389902.0
"Hillsdale, KS",
"Kincaid, KS",118.0
"Plymouth, KS",
"Colwich, KS",1398.0
"Derby, KS",23633.0
"Emmett, KS",190.0
"Riverdale, KS",
"Simpson, KS",84.0
"Dover, KS",
"Dighton, KS",970.0
"Girard, KS",2748.0
"Fairmount, KS",
"Barnard, KS",67.0
"Edna, KS",414.0
"Speed, KS",35.0
"Climax, KS",67.0
"Stull, KS",
"Clifton, KS",529.0
"Mission, KS",9443.0
"Norcatur, KS",146.0
"Webber, KS",24.0
"Elwood, KS",1164.0
"Hill City, KS",1455.0
"Saint Leo, KS",
"Peoria, KS",
"Savage, MT",
"Corbin, MT",
"Shelby, MT",3216.0
"Darby, MT",763.0
"Winnett, MT",185.0
"Post Creek, MT",
"Klein, MT",
"Alder, MT",
"Big Sky, MT",
"McAllister, MT",
"Shirley, MT",
"Waterloo, MT",
"Three Forks, MT",1944.0
"Antelope, MT",
"Poplar, MT",854.0
"Wolf Point, MT",2806.0
"Stryker, MT",
"Saco, MT",197.0
"Heart Butte, MT",
"Rockvale, MT",
"Flatwillow, MT",
"Kinsey, MT",
"Kevin, MT",138.0
"Hobson, MT",218.0
"Gilman, MT",
"Geyser, MT",
"Fort Belknap Agency, MT",
"Jardine, MT",
"Hingham, MT",122.0
"Monarch, MT",
"Augusta, MT",
"Townsend, MT",1978.0
"Pendroy, MT",
"Cushman, MT",
"Rapelje, MT",
"Birney, MT",
"Hamilton, MT",4674.0
"Sedan, MT",
"Butte, MT",33853.0
"Lonepine, MT",
"Saltese, MT",
"Fallon, MT",
"Huntley, MT",
"Missoula, MT",72364.0
"Whitetail, MT",
"Fort Benton, MT",1456.0
"Windham, MT",
"Bear Dance, MT",
"Charlo, MT",
"Hinsdale, MT",
"Fromberg, MT",445.0
"Boyes, MT",
"Lohman, MT",
"Dean, MT",
"Stevensville, MT",1963.0
"Froid, MT",201.0
"Bainville, MT",314.0
"Hardy, MT",
"Rexford, MT",151.0
"Fort Peck, MT",247.0
"Victor, MT",
"Muddy, MT",
"Sangrey, MT",
"Cut Bank, MT",3012.0
"Alberton, MT",417.0
"Willow Creek, MT",
"Basin, MT",
"Lockwood, MT",
"Sanders, MT",
"Columbus, MT",2028.0
"Bighorn, MT",
"Radersburg, MT",
"Beaver Creek, MT",
"De Borgia, MT",
"Ravalli, MT",
"Hysham, MT",301.0
"Red Rock, MT",
"Chinook, MT",1233.0
"Dodson, MT",124.0
"West Glendive, MT",
"Culbertson, MT",804.0
"Elliston, MT",
"Snider, MT",
"Turtle Lake, MT",
"Box Elder, MT",
"Utica, MT",
"Denton, MT",247.0
"Gallatin Gateway, MT",
"Martinsdale, MT",
"East Missoula, MT",
"Galata, MT",
"Wyola, MT",
"Condon, MT",
"Broadview, MT",193.0
"Glasgow, MT",3364.0
"South Glastonbury, MT",
"Colstrip, MT",2311.0
"Raymond, MT",
"Haugan, MT",
"Dell, MT",
"Harlowton, MT",984.0
"Jordan, MT",399.0
"Joliet, MT",640.0
"Opportunity, MT",
"King Arthur Park, MT",
"Elkhorn, MT",
"Hanover, MT",
"Intake, MT",
"Richey, MT",187.0
"Rocky Boy's Agency, MT",
"Janney, MT",
"Churchill, MT",
"Plevna, MT",176.0
"Belgrade, MT",8254.0
"Dillon, MT",4257.0
"Nashua, MT",290.0
"Molt, MT",
"Evaro, MT",
"West Riverside, MT",
"Logan, MT",
"Blackfoot, MT",
"Raynesford, MT",
"Orchard Homes, MT",
"Broadwater, MT",
"Fortine, MT",
"Dixon, MT",
"Gildford, MT",
"Hedgesville, MT",
"Turah, MT",
"West Yellowstone, MT",1353.0
"White Pine, MT",
"Niarada, MT",
"Montague, MT",
"Barber, MT",
"Glentana, MT",
"Lewistown Heights, MT",
"Avon, MT",
"Grantsdale, MT",
"Seeley Lake, MT",
"Fairview, MT",922.0
"Loma, MT",
"West Havre, MT",
"Pryor, MT",
"Eureka, MT",1086.0
"Saint Marie, MT",
"Ismay, MT",21.0
"Arlee, MT",
"Wagner, MT",
"Ingomar, MT",
"Deer Lodge, MT",2994.0
"Canyon Creek, MT",
"White Sulphur Springs, MT",908.0
"Bigfork, MT",
"Superior, MT",826.0
"Black Eagle, MT",
"Highwood, MT",
"Kalispell, MT",22761.0
"Saint Pierre, MT",
"Goldcreek, MT",
"Laredo, MT",
"Evergreen, MT",
"Shepherd, MT",
"Gibson Flats, MT",
"Babb, MT",
"Holt, MT",
"White Haven, MT",
"Hot Springs, MT",557.0
"Hogeland, MT",
"Creston, MT",
"Broadus, MT",481.0
"Bynum, MT",
"Lambert, MT",
"Kila, MT",
"Sand Coulee, MT",
"Buffalo, MT",
"Trout Creek, MT",
"Maxville, MT",
"Outlook, MT",52.0
"Clinton, MT",
"Piltzville, MT",
"Judith Gap, MT",123.0
"Batavia, MT",
"Zortman, MT",
"Noxon, MT",
"Bridger, MT",732.0
"Helmville, MT",
"Tarkio, MT",
"Flaxville, MT",71.0
"Wibaux, MT",649.0
"Garrison, MT",
"Proctor, MT",
"Peerless, MT",
"Clancy, MT",
"Great Falls, MT",59178.0
"Cohagen, MT",
"Wolf Creek, MT",
"Silesia, MT",
"Lincoln, MT",
"Billings, MT",110323.0
"Old Agency, MT",
"Medicine Lake, MT",241.0
"Toston, MT",
"Whitewater, MT",
"Craig, MT",
"Ethridge, MT",
"Wilsall, MT",
"Saint Regis, MT",
"Wise River, MT",
"Lima, MT",224.0
"Farmington, MT",
"Vida, MT",
"Sun Prairie, MT",
"Four Corners, MT",
"Simms, MT",
"Kremlin, MT",
"Power, MT",
"Ekalaka, MT",353.0
"East Glacier Park Village, MT",
"Rollins, MT",
"Carlton, MT",
"Greycliff, MT",
"Twodot, MT",
"Dewey, MT",
"Sheridan, MT",677.0
"Big Arm, MT",
"Hardin, MT",3829.0
"Finley Point, MT",
"Worden, MT",
"Kerr, MT",
"Heath, MT",
"Moiese, MT",
"Wye, MT",
"Conrad, MT",2550.0
"Lindsay, MT",
"Glendive, MT",5332.0
"Boyd, MT",
"Lakeside, MT",
"Suffolk, MT",
"Anaconda, MT",
"Dutton, MT",308.0
"Forest Hill Village, MT",
"Santa Rita, MT",
"Miles City, MT",8647.0
"Lindisfarne, MT",
"Norris, MT",
"Springhill, MT",
"Lolo, MT",
"Paradise, MT",
"Alzada, MT",
"Red Lodge, MT",2237.0
"Ringling, MT",
"Choteau, MT",1686.0
"Ovando, MT",
"Coffee Creek, MT",
"Lewistown, MT",5870.0
"Libby, MT",2678.0
"Lame Deer, MT",
"Emigrant, MT",
"Luther, MT",
"Ballantine, MT",
"Pioneer Junction, MT",
"Jefferson City, MT",
"Kiowa, MT",
"Parker School, MT",
"Frazer, MT",
"Fife, MT",
"Moore, MT",198.0
"Frenchtown, MT",
"Danvers, MT",
"Whitlash, MT",
"Marion, MT",
"Jeffers, MT",
"Glen, MT",
"Jackson, MT",
"Grant, MT",
"Charlos Heights, MT",
"Havre, MT",9846.0
"Saint Ignatius, MT",824.0
"Foster, MT",
"Fort Shaw, MT",
"Herron, MT",
"Drummond, MT",348.0
"Wisdom, MT",
"Westby, MT",174.0
"Trego, MT",
"Hilger, MT",
"Terry, MT",609.0
"Garneill, MT",
"Roundup, MT",1840.0
"Hays, MT",
"Pinnacle, MT",
"Rudyard, MT",
"Browning, MT",1031.0
"Rosebud, MT",
"Edgar, MT",
"Grass Range, MT",108.0
"Hungry Horse, MT",
"Belfry, MT",
"Chico Hot Springs, MT",
"Big Sandy, MT",590.0
"Hathaway, MT",
"Dagmar, MT",
"Saint Xavier, MT",
"Winifred, MT",206.0
"Sidney, MT",6566.0
"Crow Agency, MT",
"Anceney, MT",
"Azure, MT",
"Inverness, MT",
"Gardiner, MT",
"Portage, MT",
"Fishtail, MT",
"Whitefish, MT",7279.0
"Bearcreek, MT",84.0
"Joplin, MT",
"Ennis, MT",890.0
"Bozeman, MT",45250.0
"McLeod, MT",
"Divide, MT",
"Winston, MT",
"Saint Mary, MT",
"Park City, MT",
"Harrison, MT",
"Laurel, MT",6865.0
"Brockway, MT",
"Boneau, MT",
"Miner, MT",
"Floweree, MT",
"Absarokee, MT",
"Circle, MT",619.0
"Stockett, MT",
"Sunburst, MT",338.0
"Polebridge, MT",
"McCabe, MT",
"Lake Mary Ronan, MT",
"Happys Inn, MT",
"Ryegate, MT",236.0
"Sun River, MT",
"Geraldine, MT",261.0
"Coram, MT",
"Neihart, MT",50.0
"Saddle Butte, MT",
"Big Timber, MT",1645.0
"Cardwell, MT",
"Ashland, MT",
"Myers, MT",
"Weeksville, MT",
"Kicking Horse, MT",
"Carter, MT",
"Lustre, MT",
"Oswego, MT",
"Silver Gate, MT",
"Silver Star, MT",
"Unionville, MT",
"Huson, MT",
"Thompson Falls, MT",1356.0
"Reed Point, MT",
"Sula, MT",
"Richland, MT",
"Square Butte, MT",
"Heron, MT",
"Scobey, MT",1032.0
"Lodge Grass, MT",446.0
"Olney, MT",
"East Helena, MT",2074.0
"Custer, MT",
"Sylvanite, MT",
"Pompeys Pillar, MT",
"Trident, MT",
"Marysville, MT",
"Warm Springs, MT",
"Crane, MT",
"Ramsay, MT",
"Ronan, MT",2016.0
"Belknap, MT",
"Shawmut, MT",
"Roberts, MT",
"Teigen, MT",
"Harlem, MT",823.0
"Waltham, MT",
"Elmo, MT",
"Philipsburg, MT",920.0
"Hall, MT",
"Troy, MT",890.0
"Perma, MT",
"Garryowen, MT",
"Musselshell, MT",
"Rocky Point, MT",
"Martin City, MT",
"Acton, MT",
"Melrose, MT",
"Lodge Pole, MT",
"Twin Bridges, MT",395.0
"Biddle, MT",
"Vaughn, MT",
"Brockton, MT",243.0
"Columbia Falls, MT",5241.0
"Brady, MT",
"Moccasin, MT",
"Opheim, MT",88.0
"Baker, MT",1990.0
"Swan Lake, MT",
"Cascade, MT",688.0
"Chester, MT",884.0
"Forsyth, MT",1869.0
"Virginia City, MT",198.0
"Pony, MT",
"Camas, MT",
"Essex, MT",
"Roy, MT",
"Woods Bay, MT",
"Cameron, MT",
"Redstone, MT",
"Camp Three, MT",
"Fairfield, MT",726.0
"Cooke City, MT",
"Jette, MT",
"Crackerville, MT",
"Agawam, MT",
"Corvallis, MT",
"De Smet, MT",
"Boulder, MT",1230.0
"Dayton, MT",
"North Browning, MT",
"Starr School, MT",
"Pray, MT",
"Fort Smith, MT",
"Reserve, MT",
"Homestead, MT",
"Montana City, MT",
"Plentywood, MT",1904.0
"Clyde Park, MT",309.0
"Ulm, MT",
"West Glacier, MT",
"Austin, MT",
"Capitol, MT",
"Plains, MT",1071.0
"Armington, MT",
"Helena, MT",31169.0
"Yaak, MT",
"Bonner, MT",
"Melstone, MT",107.0
"Florence, MT",
"Kings Point, MT",
"Belt, MT",588.0
"Lozeau, MT",
"Springdale, MT",
"Corwin Springs, MT",
"Malta, MT",1950.0
"Conner, MT",
"Dunkirk, MT",
"Roosville, MT",
"Manhattan, MT",1691.0
"Nye, MT",
"Whitehall, MT",1114.0
"Busby, MT",
"Walkerville, MT",700.0
"Somers, MT",
"Pinesdale, MT",967.0
"Riverbend, MT",
"South Browning, MT",
"Tracy, MT",
"Madoc, MT",
"Polson, MT",4777.0
"Stanford, MT",384.0
"Roscoe, MT",
"Fox Lake, MT",
"Park Grove, MT",
"East Glacier Park, MT",
"Amsterdam, MT",
"Kolin, MT",
"Melville, MT",
"Lavina, MT",173.0
"Comanche, MT",
"Limestone, MT",
"Sweet Grass, MT",
"Valier, MT",498.0
"Livingston, MT",7401.0
"Pablo, MT",
"Turner, MT",
"Dupuyer, MT",
"Holmesville, MS",
"Leaf, MS",
"Metcalfe, MS",1008.0
"Meadville, MS",432.0
"Dundee, MS",
"Bolivar, MS",
"Crandall, MS",
"Bailey, MS",
"Harperville, MS",
"Vancleave, MS",
"Boyle, MS",610.0
"Columbia, MS",6143.0
"State Line, MS",551.0
"Verona, MS",3019.0
"Sledge, MS",510.0
"Shelby, MS",2083.0
"Weir, MS",441.0
"Harrisville, MS",
"Polkville, MS",803.0
"Sanatorium, MS",
"Batesville, MS",7391.0
"Black Hawk, MS",
"Montrose, MS",136.0
"De Lisle, MS",
"Gloster, MS",898.0
"Okolona, MS",2618.0
"Tunica, MS",968.0
"Glancy, MS",
"Barnett, MS",
"Midnight, MS",
"Mooreville, MS",
"Hudsonville, MS",
"Kiln, MS",
"Soso, MS",401.0
"Lynchburg, MS",
"Flowood, MS",8859.0
"Durant, MS",2431.0
"Derma, MS",1000.0
"Howard, MS",
"Chicora, MS",
"Marks, MS",1551.0
"Bentonia, MS",423.0
"Crystal Springs, MS",4889.0
"Tishomingo, MS",336.0
"Rich, MS",
"Cruger, MS",354.0
"Collins, MS",2569.0
"Abbeville, MS",430.0
"Diamondhead, MS",8217.0
"Tuscola, MS",
"Sebastopol, MS",278.0
"Sandersville, MS",719.0
"Brooksville, MS",1169.0
"Bruce, MS",1887.0
"Sherman, MS",687.0
"Standing Pine, MS",
"Tucker, MS",
"Hamilton, MS",
"Buckatunna, MS",
"Redwater, MS",
"Sherard, MS",
"Vance, MS",
"Toomsuba, MS",
"Lena, MS",141.0
"Albin, MS",
"Snell, MS",
"Mize, MS",327.0
"Baird, MS",
"Gallman, MS",
"Gunn, MS",
"Webb, MS",519.0
"Merrill, MS",
"New Hebron, MS",445.0
"Clara, MS",
"Percy, MS",
"McLain, MS",427.0
"Pearl River, MS",
"Hattiesburg, MS",46926.0
"Clarksdale, MS",16272.0
"Saint Martin, MS",
"Lyon, MS",319.0
"Quincy, MS",
"Ocean Springs, MS",17652.0
"Magnolia, MS",2330.0
"Mount Pleasant, MS",
"Tie Plant, MS",
"Canton, MS",13643.0
"Guntown, MS",2720.0
"Louisville, MS",6324.0
"Basic, MS",
"Water Valley, MS",3393.0
"Algoma, MS",613.0
"Centreville, MS",1542.0
"Michigan City, MS",
"Darlove, MS",
"Hazlehurst, MS",3883.0
"Star, MS",
"De Kalb, MS",1045.0
"Beatty, MS",
"Waltersville, MS",
"Poplar Creek, MS",
"Beauregard, MS",322.0
"Prentiss, MS",982.0
"Tilden, MS",
"Shivers, MS",
"West Point, MS",10880.0
"Denmark, MS",
"Vardaman, MS",1291.0
"Waynesboro, MS",4944.0
"Taylor, MS",372.0
"Velma, MS",
"Forkville, MS",
"Strong, MS",
"Pope, MS",209.0
"Wyatte, MS",
"Stovall, MS",
"Friars Point, MS",1082.0
"Chunky, MS",324.0
"Morgantown, MS",
"Money, MS",
"Wade, MS",
"Cockrum, MS",
"Nellieburg, MS",
"Sharon, MS",
"Kossuth, MS",208.0
"Gattman, MS",87.0
"McAdams, MS",
"New Hamilton, MS",
"New Augusta, MS",638.0
"Mayersville, MS",541.0
"Utica, MS",869.0
"Orange Grove, MS",
"Thompson, MS",
"Hushpuckena, MS",
"Agricola, MS",
"Raymond, MS",2220.0
"Phoenix, MS",
"Benoit, MS",448.0
"Red Lick, MS",
"North Tunica, MS",
"Falkner, MS",510.0
"Carpenter, MS",
"Mendenhall, MS",2457.0
"Carrollton, MS",182.0
"Scooba, MS",697.0
"Hillhouse, MS",
"Falcon, MS",150.0
"Foxworth, MS",
"Philipp, MS",
"Lucas, MS",
"Georgetown, MS",281.0
"Mattson, MS",
"Bay Saint Louis, MS",12667.0
"Deeson, MS",
"Paris, MS",
"McVille, MS",
"Isola, MS",652.0
"Jonestown, MS",1172.0
"Farrell, MS",
"Savage, MS",
"White Apple, MS",
"Stampley, MS",
"Maben, MS",864.0
"Morton, MS",3434.0
"Nettleton, MS",1952.0
"Lyman, MS",
"Bogue Chitto, MS",
"Tuckers Crossing, MS",
"Escatawpa, MS",
"Pickens, MS",1054.0
"McNair, MS",
"Lakeshore, MS",
"Pinola, MS",
"Stanton, MS",
"Kirby, MS",
"Monticello, MS",1552.0
"Red Banks, MS",
"Drew, MS",1731.0
"Bigbee, MS",
"Marietta, MS",255.0
"Hopewell, MS",
"Hamburg, MS",
"Snow Lake Shores, MS",301.0
"Winterville, MS",
"Burns, MS",
"Grace, MS",
"Hickory, MS",526.0
"Edinburg, MS",
"Pricedale, MS",
"Booneville, MS",8744.0
"Oxford, MS",23290.0
"Rome, MS",
"Ozona, MS",
"Brookhaven, MS",12359.0
"Vossburg, MS",
"Yazoo City, MS",11180.0
"Petal, MS",10704.0
"Newton, MS",3317.0
"Montpelier, MS",
"Ingomar, MS",
"Toccopola, MS",255.0
"Hinchcliff, MS",
"White Oak, MS",
"Southaven, MS",53214.0
"Beaumont, MS",938.0
"Ashland, MS",543.0
"Perkinston, MS",
"Duncan, MS",401.0
"Gulf Hills, MS",
"Shuqualak, MS",483.0
"Madden, MS",
"Liberty, MS",688.0
"Lucedale, MS",3043.0
"Learned, MS",93.0
"Oma, MS",
"Jumpertown, MS",482.0
"Quitman, MS",2189.0
"Martin Bluff, MS",
"Wenasoga, MS",
"Summerland, MS",
"Camden, MS",
"Chatham, MS",
"Holly Springs, MS",7682.0
"Kosciusko, MS",7139.0
"Renova, MS",734.0
"University, MS",
"Arnold Line, MS",
"Crowder, MS",663.0
"Bellefontaine, MS",
"Daleville, MS",
"Clinton, MS",25211.0
"Kilmichael, MS",595.0
"Indianola, MS",9655.0
"Collinsville, MS",
"Longview, MS",
"Lessley, MS",
"Sanford, MS",
"Sweatman, MS",
"Port Gibson, MS",1430.0
"Wiggins, MS",4545.0
"Ackerman, MS",1469.0
"Kendrick, MS",
"Banks, MS",
"Bigbee Valley, MS",
"Waterford, MS",
"Hollywood, MS",
"Hatley, MS",467.0
"Stringer, MS",
"West Hattiesburg, MS",
"Winchester, MS",
"Anding, MS",
"Fayette, MS",1527.0
"Springville, MS",
"Gatesville, MS",
"Rolling Fork, MS",2025.0
"Clarkson, MS",
"Mantee, MS",221.0
"Sumrall, MS",1728.0
"Cleary, MS",
"Prairie Point, MS",
"Enterprise, MS",499.0
"Charleston, MS",2010.0
"Tremont, MS",464.0
"Coffeeville, MS",871.0
"Bolton, MS",543.0
"Bonhomie, MS",
"Ansley, MS",
"Thomastown, MS",
"Woodville, MS",986.0
"Maxie, MS",
"Union Church, MS",
"Auburn, MS",
"Bay Springs, MS",1738.0
"Vaiden, MS",980.0
"Tula, MS",
"Bude, MS",1017.0
"Howison, MS",
"Denham, MS",
"Farmington, MS",2189.0
"Hide-A-Way Lake, MS",
"New Hope, MS",
"Philadelphia, MS",7361.0
"Battles, MS",
"Tutwiler, MS",1111.0
"Goodman, MS",1313.0
"Coila, MS",
"Renfroe, MS",
"Crawford, MS",650.0
"De Soto, MS",
"Starkville, MS",25570.0
"Matherville, MS",
"Amory, MS",7067.0
"Tamola, MS",
"Roxie, MS",475.0
"Kearney Park, MS",
"Caledonia, MS",1050.0
"Decatur, MS",1788.0
"Eupora, MS",2075.0
"Hiwannee, MS",
"Thorn, MS",
"Pheba, MS",
"Benton, MS",
"Leflore, MS",
"Freeny, MS",
"Natchez, MS",15109.0
"Satartia, MS",53.0
"Leland, MS",4104.0
"Bond, MS",
"Winborn, MS",
"Wesson, MS",1891.0
"Biggersville, MS",
"Egypt, MS",
"Johns, MS",
"Doddsville, MS",89.0
"Eagle Bend, MS",
"Walnut Grove, MS",1608.0
"Summit, MS",1651.0
"Sibley, MS",
"Sunflower, MS",1049.0
"Burnsville, MS",930.0
"Pontotoc, MS",6109.0
"Wanilla, MS",
"Glendora, MS",139.0
"Gulf Park Estates, MS",
"Carriere, MS",
"Gunnison, MS",422.0
"Wilkinson, MS",
"Independence, MS",
"Holcut, MS",
"Moselle, MS",
"Bissell, MS",
"McNeill, MS",
"Beulah, MS",325.0
"Winstonville, MS",178.0
